Age,Gender,Education Level,Job Title,Years of Experience,Salary
44.0,Female,PhD,Senior UX Designer,15.0,>100K
27.0,Male,Bachelor's Degree,Junior Product Manager,2.0,<=100K
36.0,Female,Bachelor's Degree,Senior Marketing Specialist,8.0,<=100K
43.0,Male,Bachelor's Degree,Senior IT Project Manager,14.0,>100K
33.0,Female,Master's Degree,Senior Financial Analyst,6.0,<=100K
34.0,Male,Bachelor's Degree,Senior Quality Assurance Analyst,9.0,<=100K
50.0,Female,PhD,Director of Sales and Marketing,22.0,>100K
28.0,Male,Bachelor's Degree,Junior Operations Analyst,1.5,<=100K
39.0,Female,Bachelor's Degree,Senior Account Executive,12.0,<=100K
47.0,Male,Master's Degree,Director of Business Development,19.0,>100K
30.0,Female,Bachelor's Degree,Junior Social Media Manager,3.0,<=100K
34.0,Male,Bachelor's Degree,Senior Product Manager,7.0,<=100K
40.0,Female,Master's Degree,Senior Human Resources Specialist,13.0,>100K
28.0,Male,Bachelor's Degree,Junior Business Analyst,2.0,<=100K
41.0,Female,Bachelor's Degree,Senior Marketing Coordinator,11.0,<=100K
45.0,Male,PhD,Senior Data Analyst,17.0,>100K
32.0,Female,Bachelor's Degree,Junior Account Manager,5.0,<=100K
35.0,Male,Master's Degree,Senior Software Developer,9.0,>100K
49.0,Female,Master's Degree,Director of Human Capital,21.0,>100K
30.0,Male,Bachelor's Degree,Junior Advertising Coordinator,3.0,<=100K
44.0,Male,Bachelor's Degree,Senior Sales Manager,16.0,>100K
27.0,Female,Master's Degree,Junior UX Designer,1.5,<=100K
36.0,Male,Bachelor's Degree,Senior Accountant,7.0,<=100K
41.0,Female,PhD,Senior Marketing Director,17.0,>100K
31.0,Male,Bachelor's Degree,Junior HR Generalist,4.0,<=100K
39.0,Female,Bachelor's Degree,Senior Operations Manager,10.0,>100K
47.0,Male,Master's Degree,Director of Finance,20.0,>100K
30.0,Female,Bachelor's Degree,Junior Marketing Coordinator,2.0,<=100K
38.0,Male,Master's Degree,Senior IT Consultant,9.0,>100K
45.0,Female,PhD,Senior Product Designer,15.0,>100K
28.0,Male,Bachelor's Degree,Junior Business Development Associate,2.0,<=100K
35.0,Female,Bachelor's Degree,Senior Marketing Analyst,8.0,<=100K
44.0,Male,Bachelor's Degree,Senior Software Engineer,14.0,>100K
34.0,Female,Master's Degree,Senior Financial Advisor,6.0,<=100K
35.0,Male,Bachelor's Degree,Senior Project Coordinator,9.0,<=100K
50.0,Female,PhD,Director of Operations,22.0,>100K
29.0,Male,Bachelor's Degree,Junior Business Operations Analyst,1.5,<=100K
40.0,Female,Bachelor's Degree,Senior Sales Representative,12.0,<=100K
48.0,Male,Master's Degree,Director of Marketing,19.0,>100K
31.0,Female,Bachelor's Degree,Junior Social Media Specialist,3.0,<=100K
33.0,Male,Bachelor's Degree,Senior Product Development Manager,7.0,<=100K
42.0,Female,Master's Degree,Senior Human Resources Manager,13.0,>100K
28.0,Male,Bachelor's Degree,Junior Financial Analyst,2.0,<=100K
40.0,Female,Bachelor's Degree,Senior Marketing Manager,11.0,>100K
46.0,Male,PhD,Senior Data Scientist,18.0,>100K
33.0,Female,Bachelor's Degree,Junior Operations Manager,5.0,<=100K
37.0,Male,Master's Degree,Senior Software Architect,9.0,>100K
51.0,Female,Master's Degree,Director of Human Resources,21.0,>100K
30.0,Male,Bachelor's Degree,Junior Marketing Specialist,3.0,<=100K
43.0,Male,Bachelor's Degree,Senior Project Manager,15.0,>100K
27.0,Female,Master's Degree,Junior Research Scientist,1.5,<=100K
35.0,Male,Bachelor's Degree,Senior Operations Analyst,8.0,<=100K
42.0,Female,PhD,Senior Marketing Manager,13.0,>100K
32.0,Male,Bachelor's Degree,Junior Sales Representative,3.0,<=100K
37.0,Female,Bachelor's Degree,Senior Financial Analyst,9.0,<=100K
45.0,Male,Master's Degree,Senior Software Developer,16.0,>100K
33.0,Female,Bachelor's Degree,Junior Operations Analyst,5.0,<=100K
39.0,Male,Bachelor's Degree,Senior Marketing Specialist,10.0,>100K
44.0,Female,PhD,Senior HR Manager,18.0,>100K
29.0,Male,Bachelor's Degree,Junior Business Analyst,1.5,<=100K
38.0,Female,Bachelor's Degree,Senior Product Manager,10.0,>100K
46.0,Male,PhD,Senior Data Analyst,19.0,>100K
34.0,Female,Bachelor's Degree,Junior Marketing Analyst,6.0,<=100K
36.0,Male,Bachelor's Degree,Senior Operations Manager,8.0,<=100K
49.0,Female,Master's Degree,Director of Marketing,21.0,>100K
31.0,Male,Bachelor's Degree,Junior Financial Analyst,3.0,<=100K
41.0,Female,Bachelor's Degree,Senior Project Coordinator,11.0,<=100K
47.0,Male,Master's Degree,Director of Operations,20.0,>100K
30.0,Female,Bachelor's Degree,Junior Marketing Coordinator,2.0,<=100K
38.0,Male,Master's Degree,Senior IT Consultant,9.0,>100K
45.0,Female,PhD,Senior Product Designer,15.0,>100K
28.0,Male,Bachelor's Degree,Junior Business Development Associate,2.0,<=100K
35.0,Female,Bachelor's Degree,Senior Marketing Analyst,8.0,<=100K
44.0,Male,Bachelor's Degree,Senior Software Engineer,14.0,>100K
34.0,Female,Master's Degree,Senior Financial Advisor,6.0,<=100K
35.0,Male,Bachelor's Degree,Senior Project Coordinator,9.0,<=100K
50.0,Female,PhD,Director of Operations,22.0,>100K
29.0,Male,Bachelor's Degree,Junior Business Operations Analyst,1.5,<=100K
,,,,,<=100K
37.0,Female,Bachelor's Degree,Senior Financial Manager,10.0,>100K
46.0,Male,PhD,Senior Data Scientist,18.0,>100K
31.0,Female,Bachelor's Degree,Junior Marketing Coordinator,3.0,<=100K
42.0,Male,Bachelor's Degree,Senior Operations Manager,12.0,>100K
29.0,Female,Bachelor's Degree,Junior Sales Representative,1.5,<=100K
36.0,Male,Bachelor's Degree,Senior Marketing Specialist,8.0,<=100K
44.0,Female,Master's Degree,Senior HR Specialist,15.0,>100K
33.0,Male,Bachelor's Degree,Junior Operations Manager,4.0,<=100K
39.0,Female,Bachelor's Degree,Senior Marketing Coordinator,9.0,>100K
45.0,Male,PhD,Senior Data Engineer,16.0,>100K
32.0,Female,Bachelor's Degree,Junior Marketing Manager,4.0,<=100K
37.0,Male,Bachelor's Degree,Senior Financial Analyst,8.0,<=100K
47.0,Female,Master's Degree,Director of Marketing,20.0,>100K
30.0,Male,Bachelor's Degree,Junior Business Analyst,2.0,<=100K
38.0,Female,Bachelor's Degree,Senior Project Manager,9.0,>100K
46.0,Male,PhD,Senior Data Analyst,17.0,>100K
34.0,Female,Bachelor's Degree,Junior Financial Analyst,5.0,<=100K
36.0,Male,Bachelor's Degree,Senior Product Manager,8.0,<=100K
49.0,Female,Master's Degree,Director of Operations,21.0,>100K
31.0,Male,Bachelor's Degree,Junior Operations Analyst,3.0,<=100K
41.0,Female,Bachelor's Degree,Senior Project Coordinator,11.0,<=100K
47.0,Male,Master's Degree,Director of Marketing,19.0,>100K
29.0,Female,Bachelor's Degree,Junior Business Development Associate,1.5,<=100K
35.0,Male,Bachelor's Degree,Senior Financial Manager,9.0,<=100K
44.0,Female,PhD,Senior Product Designer,15.0,>100K
33.0,Male,Bachelor's Degree,Junior Business Analyst,4.0,<=100K
35.0,Female,Bachelor's Degree,Senior Marketing Analyst,8.0,<=100K
44.0,Male,Bachelor's Degree,Senior Software Engineer,13.0,>100K
32.0,Male,Bachelor's Degree,Junior Product Manager,4.0,<=100K
38.0,Female,Bachelor's Degree,Senior Business Analyst,10.0,>100K
49.0,Male,PhD,Director of Operations,21.0,>100K
29.0,Female,Bachelor's Degree,Junior Marketing Specialist,2.0,<=100K
35.0,Male,Bachelor's Degree,Senior Business Development Manager,7.0,<=100K
45.0,Female,Master's Degree,Senior HR Manager,14.0,>100K
33.0,Male,Bachelor's Degree,Junior Financial Analyst,4.0,<=100K
40.0,Female,Bachelor's Degree,Senior Marketing Manager,12.0,>100K
44.0,Male,PhD,Senior Data Scientist,16.0,>100K
30.0,Female,Bachelor's Degree,Junior Operations Coordinator,2.0,<=100K
37.0,Male,Bachelor's Degree,Senior Marketing Analyst,9.0,<=100K
48.0,Female,Master's Degree,Director of HR,20.0,>100K
31.0,Male,Bachelor's Degree,Junior Project Manager,3.0,<=100K
38.0,Female,Bachelor's Degree,Senior Operations Coordinator,9.0,>100K
45.0,Male,PhD,Senior Data Engineer,16.0,>100K
33.0,Female,Bachelor's Degree,Junior Marketing Manager,5.0,<=100K
36.0,Male,Bachelor's Degree,Senior Business Analyst,8.0,<=100K
49.0,Female,Master's Degree,Director of Marketing,21.0,>100K
31.0,Male,Bachelor's Degree,Junior Operations Analyst,3.0,<=100K
42.0,Female,Bachelor's Degree,Senior Project Manager,12.0,>100K
47.0,Male,Master's Degree,Director of Marketing,19.0,>100K
29.0,Female,Bachelor's Degree,Junior Business Development Associate,1.5,<=100K
35.0,Male,Bachelor's Degree,Senior Financial Manager,9.0,<=100K
44.0,Female,PhD,Senior Product Designer,15.0,>100K
33.0,Male,Bachelor's Degree,Junior Business Analyst,4.0,<=100K
35.0,Female,Bachelor's Degree,Senior Marketing Analyst,8.0,<=100K
44.0,Male,Bachelor's Degree,Senior Software Engineer,13.0,>100K
34.0,Female,Master's Degree,Senior Financial Advisor,6.0,<=100K
36.0,Male,Bachelor's Degree,Senior Marketing Specialist,8.0,<=100K
30.0,Female,Bachelor's Degree,Junior HR Coordinator,2.0,<=100K
37.0,Male,Bachelor's Degree,Senior Business Development Manager,10.0,>100K
45.0,Female,Master's Degree,Senior Marketing Manager,16.0,>100K
32.0,Male,Bachelor's Degree,Junior Financial Advisor,4.0,<=100K
39.0,Female,Bachelor's Degree,Senior Project Manager,12.0,>100K
47.0,Male,PhD,Director of Engineering,20.0,>100K
29.0,Female,Bachelor's Degree,Junior Marketing Analyst,2.0,<=100K
36.0,Male,Bachelor's Degree,Senior Operations Manager,9.0,<=100K
43.0,Female,PhD,Senior Data Scientist,15.0,>100K
32.0,Male,Bachelor's Degree,Junior Marketing Coordinator,3.0,<=100K
38.0,Female,Bachelor's Degree,Senior Business Analyst,10.0,>100K
48.0,Male,Master's Degree,Director of Marketing,21.0,>100K
31.0,Female,Bachelor's Degree,Junior Business Development Associate,3.0,<=100K
40.0,Male,Bachelor's Degree,Senior Financial Analyst,12.0,>100K
45.0,Female,PhD,Senior UX Designer,16.0,>100K
33.0,Male,Bachelor's Degree,Junior Product Manager,4.0,<=100K
36.0,Female,Bachelor's Degree,Senior Marketing Manager,8.0,<=100K
47.0,Male,Master's Degree,Director of Operations,19.0,>100K
29.0,Female,Bachelor's Degree,Junior Project Manager,2.0,<=100K
34.0,Male,Bachelor's Degree,Senior Operations Coordinator,7.0,<=100K
44.0,Female,PhD,Senior Business Analyst,15.0,>100K
33.0,Male,Bachelor's Degree,Junior Marketing Specialist,5.0,<=100K
35.0,Female,Bachelor's Degree,Senior Financial Manager,8.0,<=100K
43.0,Male,Master's Degree,Director of Marketing,18.0,>100K
31.0,Female,Bachelor's Degree,Junior Financial Analyst,3.0,<=100K
41.0,Male,Bachelor's Degree,Senior Product Manager,14.0,>100K
44.0,Female,PhD,Senior Data Engineer,16.0,>100K
33.0,Male,Bachelor's Degree,Junior Business Analyst,4.0,<=100K
35.0,Female,Bachelor's Degree,Senior Marketing Analyst,8.0,<=100K
45.0,Male,Master's Degree,Director of Engineering,19.0,>100K
28.0,Female,Bachelor's Degree,Junior Operations Manager,1.0,<=100K
36.0,Male,Bachelor's Degree,Senior Business Development Manager,8.0,>100K
44.0,Female,PhD,Senior Data Scientist,16.0,>100K
31.0,Male,Bachelor's Degree,Junior Marketing Coordinator,3.0,<=100K
38.0,Female,Bachelor's Degree,Senior Business Analyst,10.0,>100K
48.0,Male,Master's Degree,Director of Marketing,21.0,>100K
31.0,Female,Bachelor's Degree,Junior Business Development Associate,3.0,<=100K
40.0,Male,Bachelor's Degree,Senior Financial Analyst,12.0,>100K
45.0,Female,PhD,Senior UX Designer,16.0,>100K
33.0,Male,Bachelor's Degree,Junior Product Manager,4.0,<=100K
36.0,Female,Bachelor's Degree,Senior Marketing Manager,8.0,<=100K
47.0,Male,Master's Degree,Director of Operations,19.0,>100K
29.0,Female,Bachelor's Degree,Junior Project Manager,2.0,<=100K
34.0,Male,Bachelor's Degree,Senior Operations Coordinator,7.0,<=100K
44.0,Female,PhD,Senior Business Analyst,15.0,>100K
33.0,Male,Bachelor's Degree,Junior Marketing Specialist,5.0,<=100K
35.0,Female,Bachelor's Degree,Senior Financial Manager,8.0,<=100K
43.0,Male,Master's Degree,Director of Marketing,18.0,>100K
31.0,Female,Bachelor's Degree,Junior Financial Analyst,3.0,<=100K
41.0,Male,Bachelor's Degree,Senior Product Manager,14.0,>100K
44.0,Female,PhD,Senior Data Engineer,16.0,>100K
33.0,Male,Bachelor's Degree,Junior Business Analyst,4.0,<=100K
35.0,Female,Bachelor's Degree,Senior Marketing Analyst,8.0,<=100K
43.0,Male,Master's Degree,Director of Operations,19.0,>100K
29.0,Female,Bachelor's Degree,Junior Project Manager,2.0,<=100K
34.0,Male,Bachelor's Degree,Senior Operations Coordinator,7.0,<=100K
44.0,Female,PhD,Senior Business Analyst,15.0,>100K
31.0,Male,Master's Degree,Data Scientist,6.0,>100K
28.0,Female,Bachelor's Degree,Software Engineer,3.0,>100K
26.0,Male,Master's Degree,Product Manager,2.0,>100K
27.0,Female,Bachelor's Degree,Data Analyst,2.0,>100K
30.0,Male,PhD,Data Scientist,5.0,>100K
29.0,Female,Bachelor's Degree,Software Engineer,4.0,>100K
32.0,Male,Bachelor's Degree,Product Manager,7.0,>100K
25.0,Female,Master's Degree,Data Analyst,1.0,<=100K
33.0,Male,PhD,Data Scientist,8.0,>100K
31.0,Female,Bachelor's Degree,Software Engineer,6.0,>100K
28.0,Male,Master's Degree,Product Manager,3.0,>100K
30.0,Female,Bachelor's Degree,Data Analyst,5.0,>100K
27.0,Male,PhD,Data Scientist,2.0,>100K
29.0,Female,Bachelor's Degree,Software Engineer,4.0,>100K
34.0,Male,Bachelor's Degree,Product Manager,9.0,>100K
25.0,Female,Master's Degree,Data Analyst,1.0,<=100K
33.0,Male,PhD,Data Scientist,8.0,>100K
31.0,Female,Bachelor's Degree,Software Engineer,6.0,>100K
28.0,Male,Master's Degree,Product Manager,3.0,>100K
30.0,Female,Bachelor's Degree,Data Analyst,5.0,>100K
28.0,Male,Bachelor's Degree,Software Engineer,3.0,>100K
26.0,Female,Master's Degree,Product Manager,2.0,>100K
27.0,Male,Bachelor's Degree,Data Analyst,2.0,>100K
30.0,Female,PhD,Data Scientist,5.0,>100K
29.0,Male,Bachelor's Degree,Software Engineer,4.0,>100K
32.0,Male,Bachelor's Degree,Product Manager,7.0,>100K
25.0,Female,Master's Degree,Data Analyst,1.0,<=100K
33.0,Male,PhD,Data Scientist,8.0,>100K
31.0,Female,Bachelor's Degree,Software Engineer,6.0,>100K
28.0,Male,Master's Degree,Product Manager,3.0,>100K
30.0,Female,Bachelor's Degree,Data Analyst,5.0,>100K
27.0,Male,PhD,Data Scientist,2.0,>100K
29.0,Female,Bachelor's Degree,Software Engineer,4.0,>100K
34.0,Male,Bachelor's Degree,Product Manager,9.0,>100K
25.0,Female,Master's Degree,Data Analyst,1.0,<=100K
33.0,Male,PhD,Data Scientist,8.0,>100K
31.0,Female,Bachelor's Degree,Software Engineer,6.0,>100K
28.0,Male,Master's Degree,Product Manager,3.0,>100K
30.0,Female,Bachelor's Degree,Data Analyst,5.0,>100K
28.0,Male,Bachelor's Degree,Software Engineer,3.0,>100K
26.0,Female,Master's Degree,Product Manager,2.0,>100K
27.0,Male,Bachelor's Degree,Data Analyst,2.0,>100K
30.0,Female,PhD,Data Scientist,5.0,>100K
29.0,Male,Bachelor's Degree,Software Engineer,4.0,>100K
32.0,Male,Bachelor's Degree,Product Manager,7.0,>100K
25.0,Female,Master's Degree,Data Analyst,1.0,<=100K
33.0,Male,PhD,Data Scientist,8.0,>100K
31.0,Female,Bachelor's Degree,Software Engineer,6.0,>100K
28.0,Male,Master's Degree,Product Manager,3.0,>100K
